Name,street,city,state,zipcode
HOPE worldwide,2296 Clear Spring Avenue,Albany,NY,12252
Innovations for Poverty Action,527 Grove Parkway,Lakeview,AR,72642
Institute of International Education,3411 Queens Circle,Heilwood,PA,15745
International AIDS Vaccine Initiative (IAVI),798 Wildwood Avenue,Tampa,FL,33630
International Center for Research on Women (ICRW),1934 Moonlight Bay Avenue,Williamson,NY,14589
International City/County Management Association,450 Cross Pike Lane,Osseo,MN,55369
International Medical Corps,7017 Kismet Drive,Pompano Beach,FL,33069
International Orthodox Christian Charities (IOCC),2163 Forest Downs Avenue,Mineola,IA,51554
International Partnership for Microbicides,2923 Stamford Trail,Mukilteo,WA,98275
International Relief and Development,4936 Corporate Edge Way,Verden,OK,73092
International Rescue Committee (IRC),4887 River Bend Street,Fort Blackmore,VA,24250
International Research and Exchange Board (IREX),7614 Towering Pines Parkway,Rogers,TX,76569
International Virtual e-Hospital Foundation,1644 Bow String Parkway,Bryson,TX,76427
International Youth Foundation (IYF),7152 Willow Way,Barnesville,OH,43713
Internews Network,7538 Summer Fields Street,King George,VA,22485
IntraHealth International,4277 Bauxhall Circle,Boykin,AL,36723
James R. Jordan Foundation,6065 Walnut Creek Trail,Avawam,KY,41713
Jane Goodall Institute,4581 Meadowlark Circle,Ladiesburg,MD,21759
Johns Hopkins Program for International Education in Gynecology and Obstetrics (Jhpiego),6014 Tuscany Cove,Tres Pinos,CA,95075
JSI Research & Training Institute,6172 Farmington Trail,Honey Creek,IA,51542
Lifewater International,2912 Pond View Trail,Sears,MI,49679
Link Community Development,7265 Old Elm Street,Fidelity,IL,62030
Lutheran World Relief,1422 Woodruff Way,Divide,MT,59727
Management Sciences for Health (MSH),9388 Mandeville Circle,Sharpsville,IN,46068
Medical Care Development (including Medical Care Development International),9979 Woodbend Trail,Greenview,CA,96037
Medical Teams International (formerly northwest medical teams),2717 Last Arrow Circle,Holton,KS,66436
Mennonite Economic Development Associates,1731 Edgewood Circle,Dayton,OH,45454
Mercy Corps,9099 Brush Creek Parkway,New Baden,IL,62265
Mercy-USA for Aid and Development,7072 Grovewood Drive,Birmingham,AL,35210
Millennium Water Alliance,9500 Harriet Cove,Linden,IA,50146
mothers2mothers,5250 Cotton Boll Lane,Ansonia,CT,06401
mWater,4621 Wilkins Lane,Umpire,AR,71971
National Collegiate Inventors and Innovators Alliance (NCIIA),333 Sunny Slope Lane,Washington,DC,20554
National Cooperative Business Association CLUSA International,4242 Isleton Cove,Oil City,PA,16301
Natural Family Planning Center of Washington D.C (TeenSTAR),4187 Sherburne Way,Waynesburg,PA,15370
Nazarene Compassionate Ministries,5561 Western Lane,Belmore,OH,45815
"Pacific Institute for Studies in Development, Environment and Security",3735 Olney Oak Lane,New York,NY,10158
PACT,2105 Oxford Trail,El Dorado Springs,MO,64744
Palms for Life Fund,2311 Featherleigh Cove,Bradenton,FL,34281
Partners for Development,2901 Conifer Trail,Hanna,UT,84031
Partners In Health,4586 Pike Wood Avenue,Jersey City,NJ,07309
Partners of the Americas,295 Holcombe Cove,Lascassas,TN,37085
Partnership for Child Health Care #+,6425 Martha Lane,Minneapolis,NC,28652
Partnership for Supply Chain Management (PFSCM) ~,8106 Queensmill Street,Keysville,VA,23947
Pathfinder International,4597 Northridge Parkway,Duxbury,MA,02332
PCI-Media Impact (formerly Population Communication International),1121 Westlake Park Way,Grand Rapids,MI,49555
Plan International USA,3963 Forest Bend Avenue,Rockville,NE,68871
Population Council,878 Greeley Drive,Mount Calm,TX,76673
Population Reference Bureau (PRB),2159 Grisby Parkway,Long Island,KS,67647
Population Services International (PSI),3796 Danbury Way,Longview,TX,75601
Program for Appropriate Technology in Health (PATH),2739 Brenley Way,Lake Cormorant,MS,38641
Project C.U.R.E. (Commission on Urgent Relief and Equipment),4446 Hazel Lane,Swarthmore,PA,19081
Project Concern International,997 Boheme Street,Ozark,AR,72949
Project HOPE (Health Opportunities for People Everywhere),6915 Heathstone Avenue,Bennington,IN,47011
Project Medishare for Haiti,9644 Threadneedle Avenue,Memphis,TN,38177
Public Health Institute (PHI),7347 Waverly Drive,Bon Wier,TX,75928
RAND Corporation,411 Woodridge Trail,Bowling Green,MO,63334
Relief International,9471 Fleetwood Oaks Circle,Tucson,AZ,85717
Research Triangle Institute (RTI International),1742 Parkwood Lane,Longwood,FL,32750
Samaritan’s Purse,4814 Bergmann Way,Keene,CA,93531
Save the Children,104 Lansing Street,Schriever,LA,70395
Search for Common Ground,1293 Homeward Lane,Mount Tabor,NJ,07878
Sesame Workshop,956 Nightingale Trail,Bent,NM,88314
South Africa Partners,9269 Blue Grass Trail,Gore,VA,22637
Synergos Institute,5141 Misty Creek Circle,Joppa,AL,35087
TechnoServe,2933 Neshoba Trace Avenue,Vicksburg,MI,49097
TOSTAN,1699 Waverly Circle,Rose Hill,VA,24281
Touch Foundation,8869 Cross Pike Street,Danville,NH,03819
United States (U.S.) Pharmacopeial Convention,3763 Meadowview Avenue,Orange Grove,TX,78372
Wildlife Conservation Society,4844 Northwestern Way,Woolrich,PA,17779
Winrock International,7094 Hazelton Way,Ivins,UT,84738
World Concern,6573 Beaverwood Drive,Knoxville,TN,37995
World Education,1463 Riverview Lane,Lincolnville Center,ME,04850
World Hope International,8578 Oren Circle,Phoenix,AZ,85041
World Learning for International Development (World Learning),4916 Addicks Howell Circle,Pearland,TX,77588
World Relief Corporation of National Association of Evangelicals (World Relief),1579 Westminster Trail,South Royalton,VT,05068
World Renew (formerly Christian Reformed World Relief Committee),8306 Hunters Avenue,Oak Ridge,NJ,07438
World Vision,2027 Creekside Trail,Chatham,VA,24531
World Wildlife Fund (WWF),3031 Thornvine Cove,Logan,UT,84322
YMCA,3356 Lennox Circle,East Spencer,NC,28039
