blood_bank_id,name,address,phone
b0059,Pasadena Blood Center 237,"8597 Bay Road, Pasadena, MD, 21122",6278123106
b0888,Arvada Blood Center 238,"8300 Dover Way, Arvada, CO, 80005",1150751952
b0783,Manchester Blood Center 239,"35 Pilgrim Lane, Manchester, CT, 06040",4915321149
b0295,Glendale Blood Center 240,"5065 North 54th Avenue#8, Glendale, AZ, 85301",8484554779
b0313,Washington Blood Center 241,"3728 9th Street Northwest, Washington, DC, 20010",9200177971
b0910,Washington Blood Center 242,"1328 Tuckerman Street Northwest, Washington, DC, 20011",6963754880
b0251,Nashville Blood Center 243,"5434 Cedar Ash Crossing, Nashville, TN, 37013",6166063174
b0143,East Longmeadow Blood Center 244,"44 Elm Street, East Longmeadow, MA, 01028",3484153049
b0562,Manchester Blood Center 245,"351 Porter Street, Manchester, CT, 06040",2208338385
b0810,Manchester Blood Center 246,"197 Oak Street, Manchester, CT, 06040",1202179923
b0553,Fayetteville Blood Center 247,"239 Eastern Avenue, Fayetteville, AR, 72701",8745012906
b0460,Savannah Blood Center 248,"151 Main Street, Savannah, GA, 31408",5406608255
b0007,Panama City Blood Center 249,"7047 Vinson Road, Panama City, FL, 32413",5162107074
b0672,Manchester Blood Center 250,"77 Gerald Drive, Manchester, CT, 06040",1875643073
b0921,Arvada Blood Center 251,"8447 West 51st Avenue, Arvada, CO, 80002",8818631478
b0531,Freetown Blood Center 252,"2A Cleveland Park Rd, Freetown, MA, 02717",1125282359
b0358,Savannah Blood Center 253,"14006 Coffee Bluff Road, Savannah, GA, 31419",6543810616
b0687,Fayetteville Blood Center 254,"540 East Appleby Road#105, Fayetteville, AR, 72703",1936102667
b0369,Fayetteville Blood Center 255,"505 North Washington Avenue, Fayetteville, AR, 72701",6073346631
b0217,Savannah Blood Center 256,"2139 Glynnwood Drive, Savannah, GA, 31404",8762032883
b0557,Savannah Blood Center 257,"7 Rose Dhu Lane, Savannah, GA, 31419",1331644417
b0927,Annapolis Blood Center 258,"1347 Blackwalnut Court, Annapolis, MD, 21403",3230228094
b0417,Anchorage Blood Center 259,"400 D Street#STE 1B, Anchorage, AK, 99501",4586546165
b0171,Anchorage Blood Center 260,"9101 Vanguard Drive, Anchorage, AK, 99507",4970400868
b0804,Mexico Beach Blood Center 261,"2802 US Highway 98BLDG F, Mexico Beach, FL, 32456",1393517534
b0695,Berkeley Blood Center 262,"7144 Marlborough Terrace, Berkeley, CA, 94705",4550843456
b0131,Louisville Blood Center 263,"208 Kinnaird Lane, Louisville, KY, 40243",4988245870
b0508,Littleton Blood Center 264,"5516 West Indore Drive, Littleton, CO, 80128",2205405562
b0591,Montgomery Blood Center 265,"1320 Dunbarton Road, Montgomery, AL, 36117",4850712290
b0447,Castro Valley Blood Center 266,"5725 Medallion Court, Castro Valley, CA, 94552",9035154202
b0912,Aurora Blood Center 267,"15509 East 7th Circle, Aurora, CO, 80011",5077717566
b0087,Southport Blood Center 268,"9222 Sandra Grace Road, Southport, FL, 32409",7241161722
b0400,Arvada Blood Center 269,"15847 West 74th Place, Arvada, CO, 80007",4173605315
b0374,Edgewater Blood Center 270,"3579 2nd Avenue, Edgewater, MD, 21037",5153840531
b0294,Wolcott Blood Center 271,"4632 Vermont 15, Wolcott, VT, 05680",6463352940
b0057,Panama City Blood Center 272,"1803 Hickory AvenueUNIT C, Panama City, FL, 32405",8365139394
b0885,Montgomery Blood Center 273,"3951 Kimberly Street, Montgomery, AL, 36116",9136382958
b0387,Washington Blood Center 274,"235 17th Street Southeast, Washington, DC, 20003",3431480231
b0315,Panama City Blood Center 275,"815 Plantation Drive, Panama City, FL, 32404",9333020457
b0668,Louisville Blood Center 276,"10129 Spring Gate Drive, Louisville, KY, 40241",1928748371
b0209,Washington Blood Center 277,"1516 Buchanan Street Northwest, Washington, DC, 20011",6157331711
b0908,Louisville Blood Center 278,"14003 Crossbranch Court, Louisville, KY, 40245",1334678098
b0012,Arvada Blood Center 279,"7915 Depew Street, Arvada, CO, 80003",2332065426
b0799,Arvada Blood Center 280,"6710 Quay Street, Arvada, CO, 80003",2906060469
b0896,Panama City Blood Center 281,"1208 Lindenwood Drive, Panama City, FL, 32405",6873018141
b0266,Groton Blood Center 282,"37 Fieldside Drive, Groton, CT, 06340",3904749555
b0523,Montgomery Blood Center 283,"3340 Woodpark Drive, Montgomery, AL, 36116",5495217128
b0037,Panama City Blood Center 284,"2508 Grant Avenue, Panama City, FL, 32405",5154621890
b0280,Louisville Blood Center 285,"9401 3rd Street Road, Louisville, KY, 40272",3723168861
b0406,Arvada Blood Center 286,"8785 Ellis Court, Arvada, CO, 80005",1031634969
b0273,Peoria Blood Center 287,"7027 West Phelps Road, Peoria, AZ, 85382",9261683403
b0960,Thunderbolt Blood Center 288,"15 Lakewood Drive, Thunderbolt, GA, 31410",7382014007
b0241,Oklahoma City Blood Center 289,"12013 Blue Moon Avenue, Oklahoma City, OK, 73162",7920589973
b0914,Revere Blood Center 290,"98 Lincoln Street, Revere, MA, 02151",6882880149
b0582,Washington Blood Center 291,"1641 Kramer Street Northeast, Washington, DC, 20002",4801086546
b0650,Glendale Blood Center 292,"10202 North 51st Drive, Glendale, AZ, 85302",5096080330
b0644,Oklahoma City Blood Center 293,"10632 Admiral Court, Oklahoma City, OK, 73162",4622574396
b0929,Baltimore Blood Center 294,"5306 Ritchie Highway, Baltimore, MD, 21225",4693738947
b0448,Athol Blood Center 295,"7 Oliver Street#2, Athol, MA, 01331",6550556382
b0712,Fayetteville Blood Center 296,"3469 North Par Court, Fayetteville, AR, 72703",3320052873
b0062,Westmore Blood Center 297,"721 Vermont 5A, Westmore, VT, 05860",4832236325
b0630,Washington Blood Center 298,"623 Rhode Island Avenue Northwest, Washington, DC, 20001",3776310768
b0043,Severn Blood Center 299,"7785 Montgomery Mews Court, Severn, MD, 21144",4784346638
b0770,Fremont Blood Center 300,"42223 Edgewood Street, Fremont, CA, 94538",9807855307
